21/03/26, 22:30
Statistiche del progetto

                 	Segmenti	Parole	Caratteri (senza spazi)	Caratteri (con spazi)	#File	
Totali:          	   14929	156444	                 918526	              1045421	   20	
Restanti:        	     495	  6997	                  47056	                50947	    1	
Univoci:         	   14110	151777	                 889669	              1013504	   20	
Univoci restanti:	     495	  6997	                  47056	                50947	    1	


Statistiche file singoli:

Nome del file                           	Segmenti totali	Segmenti restanti	Segmenti univoci	Segmenti univoci restanti	Parole totali	Parole restanti	Parole univoche	Parole univoche restanti	Caratteri totali (senza spazi)	Caratteri rimanenti (senza spazi)	Caratteri univoci (senza spazi)	Caratteri univoci rimanenti (senza spazi)	Caratteri totali (con spazi)	Caratteri rimanenti (con spazi)	Caratteri univoci (con spazi)	Caratteri univoci rimanenti (con spazi)	
CODE_OF_CONDUCT.md                      	             35	                0	              35	                        0	          433	              0	            433	                       0	                          2671	                                0	                           2671	                                        0	                        3036	                              0	                         3036	                                      0	
it/LC_MESSAGES/API.po                   	            639	                0	             639	                        0	          936	              0	            936	                       0	                         10097	                                0	                          10097	                                        0	                       10340	                              0	                        10340	                                      0	
it/LC_MESSAGES/auxiliary-modules.po     	            124	                0	             122	                        0	         1167	              0	           1120	                       0	                          7487	                                0	                           7129	                                        0	                        8421	                              0	                         8040	                                      0	
it/LC_MESSAGES/CHANGELOG.po             	            508	              495	             506	                      495	         7142	           6997	           7095	                    6997	                         48012	                            47056	                          47649	                                    47056	                       52007	                          50947	                        51621	                                  50947	
it/LC_MESSAGES/common-widget-features.po	           1701	                0	            1594	                        0	        18287	              0	          17141	                       0	                        109669	                                0	                         102732	                                        0	                      123956	                              0	                       116289	                                      0	
it/LC_MESSAGES/contributing.po          	            248	                0	             243	                        0	         2963	              0	           2911	                       0	                         16471	                                0	                          16073	                                        0	                       19075	                              0	                        18652	                                      0	
it/LC_MESSAGES/debugging.po             	            432	                0	             420	                        0	         4662	              0	           4591	                       0	                         27593	                                0	                          27071	                                        0	                       31463	                              0	                        30909	                                      0	
it/LC_MESSAGES/examples.po              	            304	                0	             229	                        0	         1165	              0	            910	                       0	                          6213	                                0	                           4590	                                        0	                        7044	                              0	                         5268	                                      0	
it/LC_MESSAGES/getting_started.po       	            154	                0	             133	                        0	         1594	              0	           1479	                       0	                          8976	                                0	                           8218	                                        0	                       10280	                              0	                         9457	                                      0	
it/LC_MESSAGES/guides.po                	              4	                0	               3	                        0	           51	              0	              5	                       0	                           393	                                0	                             38	                                        0	                         418	                              0	                           40	                                      0	
it/LC_MESSAGES/index.po                 	             43	                0	              36	                        0	          237	              0	            185	                       0	                          1682	                                0	                           1295	                                        0	                        1786	                              0	                         1376	                                      0	
it/LC_MESSAGES/integration.po           	           3668	                0	            3583	                        0	        43207	              0	          42462	                       0	                        251642	                                0	                         247541	                                        0	                      288239	                              0	                       283517	                                      0	
it/LC_MESSAGES/introduction.po          	            222	                0	             204	                        0	         1835	              0	           1770	                       0	                          9932	                                0	                           9507	                                        0	                       11425	                              0	                        10975	                                      0	
it/LC_MESSAGES/libs.po                  	            750	                0	             696	                        0	         7693	              0	           7377	                       0	                         45918	                                0	                          44271	                                        0	                       52208	                              0	                        50327	                                      0	
it/LC_MESSAGES/main-modules.po          	           2499	                0	            2361	                        0	        27475	              0	          26854	                       0	                        154759	                                0	                         150585	                                        0	                      177613	                              0	                       173052	                                      0	
it/LC_MESSAGES/sphinx.po                	              3	                0	               2	                        0	           49	              0	              3	                       0	                           380	                                0	                             25	                                        0	                         404	                              0	                           26	                                      0	
it/LC_MESSAGES/widgets.po               	           1923	                0	            1741	                        0	        21822	              0	          21040	                       0	                        127948	                                0	                         123397	                                        0	                      145452	                              0	                       140376	                                      0	
it/LC_MESSAGES/xml.po                   	           1407	                0	            1337	                        0	        13896	              0	          13664	                       0	                         77017	                                0	                          75564	                                        0	                       88980	                              0	                        87394	                                      0	
placeholder.txt                         	              1	                0	               1	                        0	            1	              0	              1	                       0	                            11	                                0	                             11	                                        0	                          11	                              0	                           11	                                      0	
README.md                               	            264	                0	             225	                        0	         1829	              0	           1800	                       0	                         11655	                                0	                          11205	                                        0	                       13263	                              0	                        12798	                                      0	
